SA2 2011,SA2 2016,Weight
301011005,301011005,1
301011006,301011001,0.0002546
301011006,301011006,0.9997454
301021007,301021007,1
301021008,301021008,0.9999996
301021008,301011006,0.0000004
301021009,301021009,0.999825
301021009,301021013,0.000175
301021010,301021527,0.965821
301021010,313051542,0.034179
301021011,301021011,0.9983517
301021011,301021012,0.0016483
301021012,301011001,0.0001539
301021012,301021012,0.9998461
301021013,301021013,0.9999997
301021013,301021009,0.0000002
301021013,301021012,0.0000001
301031014,301031014,1
301031015,301031015,1
301031016,301031016,1
301031017,301031017,1
301031018,301031018,1
301031019,301031019,1
301031020,301031020,1
301031021,301031021,1
302011022,302011022,1
302011023,302011023,1
302011024,302011024,1
302011025,302011025,1
302011026,302011026,1
302021027,302021027,0.9999998
302021027,302021029,0.0000002
302021028,302021028,0.9999999
302021028,302021030,0.0000001
302021029,302021029,1
302021030,302021030,1
302021031,302021031,0.9998412
302021031,305031123,0.0001587
302021031,305031131,0.0000001
302021032,302021032,1
302021033,302021033,1
302021034,302021034,0.9999999
302021034,302031038,0.0000001
302031035,302031035,0.9981482
302031035,302031038,0.0018518
302031036,302031036,0.9949443
302031036,302031039,0.0050557
302031037,302031037,1
302031038,302031038,0.9999997
302031038,302031039,0.0000002
302031038,302031040,0.0000002
302031039,302031036,0.0088294
302031039,302031039,0.9911706
302031040,302031040,1
302041041,302011022,0.0001514
302041041,302041041,0.9998486
302041042,302041042,1
302041043,302041043,1
302041044,302041044,1
302041045,302041045,1
302041046,302041046,1
303011047,303011047,1
303011048,303011048,1
303011049,303011049,1
303011050,303011050,1
303011051,303011051,1
303021052,303021052,1
303021053,303021053,0.9995439
303021053,303021055,0.0004444
303021053,305021118,0.0000117
303021054,303021054,1
303021055,303021055,1
303021056,303021056,1
303021057,303021057,1
303021058,303021058,1
303021059,303021059,0.9999999
303021059,303041068,0.0000001
303031060,303031060,0.9994269
303031060,303031065,0.0005731
303031061,303031061,0.9999998
303031061,303031060,0.0000002
303031062,303031062,1
303031063,303031063,1
303031064,303031064,1
303031065,303031065,1
303031066,303031066,1
303041067,303041067,1
303041068,303041068,0.9999999
303041068,303041071,0.0000001
303041069,303041069,1
303041070,303041070,1
303041071,303041071,1
303051072,303051072,1
303051073,303051073,1
303051074,303051074,0.9999915
303051074,310011273,0.0000085
303051075,303051075,1
303051076,303051076,1
303061077,303061077,0.9996868
303061077,303061078,0.0003132
303061078,303061077,0.0002205
303061078,303061078,0.9997795
303061079,303041067,0.0002472
303061079,303061079,0.9997525
303061079,303061078,0.0000002
303061080,303051076,0.0001933
303061080,303061080,0.9998067
304011081,304011081,1
304011082,304011082,1
304011083,304011083,1
304011084,304011084,1
304011085,304011085,1
304021086,304021086,1
304021087,304021087,0.9999997
